Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2009-09-26	ICC Champions Trophy--1714	male	Pakistan	54.0		50	India	Pakistan	Pakistan	bat	SuperSport Park	1714.0
2009-09-27	ICC Champions Trophy--1715	male	New Zealand	38.0		50	New Zealand	Sri Lanka	Sri Lanka	field	New Wanderers Stadium	1715.0
2009-09-27	ICC Champions Trophy--1716	male	England	22.0		50	South Africa	England	England	bat	SuperSport Park	1716.0
2009-09-28	ICC Champions Trophy--1717	male	no result			50	Australia	India	Australia	bat	SuperSport Park	1717.0
2009-09-29	ICC Champions Trophy--1718	male	New Zealand		4.0	50	England	New Zealand	New Zealand	field	New Wanderers Stadium	1718.0
2009-09-30	ICC Champions Trophy--1719	male	Australia		2.0	50	Australia	Pakistan	Australia	field	SuperSport Park	1719.0
2009-09-30	ICC Champions Trophy--1720	male	India		7.0	50	India	West Indies	India	field	New Wanderers Stadium	1720.0
2009-10-02	ICC Champions Trophy--1721	male	Australia		9.0	50	Australia	England	England	bat	SuperSport Park	1721.0
2009-10-03	ICC Champions Trophy--1722	male	New Zealand		5.0	50	New Zealand	Pakistan	Pakistan	bat	New Wanderers Stadium	1722.0
2009-10-05	ICC Champions Trophy--1723	male	Australia		6.0	50	Australia	New Zealand	New Zealand	bat	SuperSport Park	1723.0
2009-10-25	Australia in India ODI Series--1724	male	Australia	4.0		50	India	Australia	Australia	bat	Reliance Stadium	1724.0
2009-10-28	Australia in India ODI Series--1725	male	India	99.0		50	India	Australia	Australia	field	Vidarbha Cricket Association Stadium, Jamtha	1725.0
2009-10-31	Australia in India ODI Series--1726	male	India		6.0	50	India	Australia	Australia	bat	Feroz Shah Kotla	1726.0
2009-11-02	Australia in India ODI Series--1727	male	Australia	24.0		50	India	Australia	India	field	Punjab Cricket Association Stadium, Mohali	1727.0
2009-11-05	Australia in India ODI Series--1728	male	Australia	3.0		50	India	Australia	Australia	bat	Rajiv Gandhi International Stadium, Uppal	1728.0
2009-11-08	Australia in India ODI Series--1729	male	Australia		6.0	50	India	Australia	India	bat	Nehru Stadium	1729.0
2009-10-27	Zimbabwe in Bangladesh ODI Series--1730	male	Zimbabwe		5.0	50	Bangladesh	Zimbabwe	Zimbabwe	field	Shere Bangla National Stadium	1730.0
2009-10-29	Zimbabwe in Bangladesh ODI Series--1731	male	Bangladesh		7.0	50	Bangladesh	Zimbabwe	Zimbabwe	bat	Shere Bangla National Stadium	1731.0
2009-10-31	Zimbabwe in Bangladesh ODI Series--1732	male	Bangladesh		4.0	50	Bangladesh	Zimbabwe	Bangladesh	field	Shere Bangla National Stadium	1732.0
2009-11-03	Zimbabwe in Bangladesh ODI Series--1733	male	Bangladesh		6.0	50	Bangladesh	Zimbabwe	Zimbabwe	bat	Zohur Ahmed Chowdhury Stadium	1733.0
2009-11-05	Zimbabwe in Bangladesh ODI Series--1734	male	Bangladesh		1.0	50	Bangladesh	Zimbabwe	Bangladesh	field	Zohur Ahmed Chowdhury Stadium	1734.0
2009-10-21	West Indies Women in South Africa ODI Series--1735	female	South Africa		7.0	50	South Africa	West Indies	South Africa	field	Boland Bank Park	1735.0
