Date	matchname	Gender	WinningTeam	Byrun	Bywicket	Overs	Team1	Team2	TossWinner	TossDecision	Venue	MatchId
2017-01-13	Pakistan in Australia ODI Series--1	male	Australia	92.0		50	Australia	Pakistan	Australia	bat	Brisbane Cricket Ground, Woolloongabba	1.0
2017-01-15	Pakistan in Australia ODI Series--2	male	Pakistan		6.0	50	Australia	Pakistan	Australia	bat	Melbourne Cricket Ground	2.0
2017-01-19	Pakistan in Australia ODI Series--3	male	Australia		7.0	50	Australia	Pakistan	Australia	field	Western Australia Cricket Association Ground	3.0
2017-01-22	Pakistan in Australia ODI Series--4	male	Australia	86.0		50	Australia	Pakistan	Australia	bat	Sydney Cricket Ground	4.0
2017-01-26	Pakistan in Australia ODI Series--5	male	Australia	57.0		50	Australia	Pakistan	Australia	bat	Adelaide Oval	5.0
2016-12-04	Chappell-Hadlee Trophy--6	male	Australia	68.0		50	Australia	New Zealand	Australia	bat	Sydney Cricket Ground	6.0
2016-12-06	Chappell-Hadlee Trophy--7	male	Australia	116.0		50	Australia	New Zealand	New Zealand	field	Manuka Oval	7.0
2016-12-09	Chappell-Hadlee Trophy--8	male	Australia	117.0		50	Australia	New Zealand	Australia	bat	Melbourne Cricket Ground	8.0
2016-07-04	Afghanistan in Scotland ODI Series--9	male	no result			50	Scotland	Afghanistan	Scotland	field	Grange Cricket Club Ground, Raeburn Place	9.0
2016-07-06	Afghanistan in Scotland ODI Series--10	male	Afghanistan	78.0		50	Scotland	Afghanistan	Afghanistan	bat	Grange Cricket Club Ground, Raeburn Place	10.0
2016-09-08	Hong Kong in Scotland ODI Series--11	male	no result			50	Scotland	Hong Kong	Hong Kong	field	Grange Cricket Club Ground, Raeburn Place	11.0
2016-09-10	Hong Kong in Scotland ODI Series--12	male	Scotland	53.0		50	Scotland	Hong Kong	Scotland	bat	Grange Cricket Club Ground, Raeburn Place	12.0
2016-06-11	India in Zimbabwe ODI Series--13	male	India		9.0	50	Zimbabwe	India	India	field	Harare Sports Club	13.0
2016-06-13	India in Zimbabwe ODI Series--14	male	India		8.0	50	Zimbabwe	India	India	field	Harare Sports Club	14.0
2016-06-15	India in Zimbabwe ODI Series--15	male	India		10.0	50	Zimbabwe	India	Zimbabwe	bat	Harare Sports Club	15.0
2016-12-26	Bangladesh in New Zealand ODI Series--16	male	New Zealand	77.0		50	New Zealand	Bangladesh	New Zealand	bat	Hagley Oval	16.0
2016-12-29	Bangladesh in New Zealand ODI Series--17	male	New Zealand	67.0		50	New Zealand	Bangladesh	Bangladesh	field	Saxton Oval	17.0
2016-12-31	Bangladesh in New Zealand ODI Series--18	male	New Zealand		8.0	50	New Zealand	Bangladesh	Bangladesh	bat	Saxton Oval	18.0
2017-01-30	Chappell-Hadlee Trophy--19	male	New Zealand	6.0		50	New Zealand	Australia	Australia	field	Eden Park	19.0
2017-02-05	Chappell-Hadlee Trophy--20	male	New Zealand	24.0		50	New Zealand	Australia	New Zealand	bat	Seddon Park	20.0
2017-02-19	South Africa in New Zealand ODI Series--21	male	South Africa		4.0	50	New Zealand	South Africa	South Africa	field	Seddon Park	21.0
2017-02-22	South Africa in New Zealand ODI Series--22	male	New Zealand	6.0		50	New Zealand	South Africa	South Africa	field	Hagley Oval	22.0
2017-02-25	South Africa in New Zealand ODI Series--23	male	South Africa	159.0		50	New Zealand	South Africa	South Africa	bat	Westpac Stadium	23.0
2017-03-01	South Africa in New Zealand ODI Series--24	male	New Zealand		7.0	50	New Zealand	South Africa	South Africa	bat	Seddon Park	24.0
2017-03-04	South Africa in New Zealand ODI Series--25	male	South Africa		6.0	50	New Zealand	South Africa	South Africa	field	Eden Park	25.0
2017-06-01	ICC Champions Trophy--26	male	England		8.0	50	England	Bangladesh	England	field	Kennington Oval	26.0
2017-06-02	ICC Champions Trophy--27	male	no result			50	Australia	New Zealand	New Zealand	bat	Edgbaston	27.0
2017-06-03	ICC Champions Trophy--28	male	South Africa	96.0		50	South Africa	Sri Lanka	Sri Lanka	field	Kennington Oval	28.0
2017-06-04	ICC Champions Trophy--29	male	India	124.0		50	India	Pakistan	Pakistan	field	Edgbaston	29.0
2017-06-05	ICC Champions Trophy--30	male	no result			50	Australia	Bangladesh	Bangladesh	bat	Kennington Oval	30.0
2017-06-06	ICC Champions Trophy--31	male	England	87.0		50	England	New Zealand	New Zealand	field	Sophia Gardens	31.0
2017-06-07	ICC Champions Trophy--32	male	Pakistan	19.0		50	Pakistan	South Africa	South Africa	bat	Edgbaston	32.0
2017-06-08	ICC Champions Trophy--33	male	Sri Lanka		7.0	50	India	Sri Lanka	Sri Lanka	field	Kennington Oval	33.0
2017-06-09	ICC Champions Trophy--34	male	Bangladesh		5.0	50	Bangladesh	New Zealand	New Zealand	bat	Sophia Gardens	34.0
2017-06-10	ICC Champions Trophy--35	male	England	40.0		50	England	Australia	England	field	Edgbaston	35.0
2017-06-11	ICC Champions Trophy--36	male	India		8.0	50	India	South Africa	India	field	Kennington Oval	36.0
2017-06-12	ICC Champions Trophy--37	male	Pakistan		3.0	50	Pakistan	Sri Lanka	Pakistan	field	Sophia Gardens	37.0
2017-06-14	ICC Champions Trophy--38	male	Pakistan		8.0	50	England	Pakistan	Pakistan	field	Sophia Gardens	38.0
2017-06-15	ICC Champions Trophy--39	male	India		9.0	50	Bangladesh	India	India	field	Edgbaston	39.0
2017-06-18	ICC Champions Trophy--40	male	Pakistan	180.0		50	India	Pakistan	India	field	Kennington Oval	40.0
2016-11-04	Papua New Guinea in Hong Kong ODI Series--41	male	Hong Kong	106.0		50	Hong Kong	Papua New Guinea	Hong Kong	bat	Mission Road Ground, Mong Kok	41.0
2016-11-06	Papua New Guinea in Hong Kong ODI Series--42	male	Papua New Guinea	14.0		50	Hong Kong	Papua New Guinea	Papua New Guinea	bat	Mission Road Ground, Mong Kok	42.0
2016-11-08	Papua New Guinea in Hong Kong ODI Series--43	male	Hong Kong		7.0	50	Hong Kong	Papua New Guinea	Papua New Guinea	bat	Mission Road Ground, Mong Kok	43.0
2017-03-03	England in West Indies ODI Series--44	male	England	45.0		50	West Indies	England	West Indies	field	Sir Vivian Richards Stadium, North Sound	44.0
2017-03-05	England in West Indies ODI Series--45	male	England		4.0	50	West Indies	England	West Indies	bat	Sir Vivian Richards Stadium, North Sound	45.0
2017-03-09	England in West Indies ODI Series--46	male	England	186.0		50	West Indies	England	West Indies	field	Kensington Oval, Bridgetown	46.0
2017-05-05	Ireland in England ODI Series--47	male	England		7.0	50	England	Ireland	Ireland	bat	County Ground	47.0
2017-05-07	Ireland in England ODI Series--48	male	England	85.0		50	England	Ireland	Ireland	field	Lord's	48.0
2016-10-07	England in Bangladesh ODI Series--49	male	England	21.0		50	Bangladesh	England	England	bat	Shere Bangla National Stadium	49.0
2016-10-09	England in Bangladesh ODI Series--50	male	Bangladesh	34.0		50	Bangladesh	England	England	field	Shere Bangla National Stadium	50.0
2016-10-12	England in Bangladesh ODI Series--51	male	England		4.0	50	Bangladesh	England	England	field	Zahur Ahmed Chowdhury Stadium	51.0
2016-10-16	New Zealand in India ODI Series--52	male	India		6.0	50	India	New Zealand	India	field	Himachal Pradesh Cricket Association Stadium	52.0
2016-10-20	New Zealand in India ODI Series--53	male	New Zealand	6.0		50	India	New Zealand	India	field	Feroz Shah Kotla	53.0
2016-10-23	New Zealand in India ODI Series--54	male	India		7.0	50	India	New Zealand	India	field	Punjab Cricket Association Stadium, Mohali	54.0
2016-10-26	New Zealand in India ODI Series--55	male	New Zealand	19.0		50	India	New Zealand	New Zealand	bat	JSCA International Stadium Complex	55.0
2016-10-29	New Zealand in India ODI Series--56	male	India	190.0		50	India	New Zealand	India	bat	Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium	56.0
2017-05-24	South Africa in England ODI Series--57	male	England	72.0		50	England	South Africa	South Africa	field	Headingley	57.0
2017-05-27	South Africa in England ODI Series--58	male	England	2.0		50	England	South Africa	South Africa	field	The Rose Bowl	58.0
2017-05-29	South Africa in England ODI Series--59	male	South Africa		7.0	50	England	South Africa	South Africa	field	Lord's	59.0
2017-09-19	West Indies tour of England--60	male	England		7.0	50	West Indies	England	West Indies	bat	Old Trafford	60.0
2017-09-21	West Indies tour of England--61	male	no result			50	England	West Indies	West Indies	field	Trent Bridge	61.0
2017-09-24	West Indies tour of England--62	male	England	124.0		50	England	West Indies	West Indies	field	County Ground	62.0
2017-09-27	West Indies tour of England--63	male	England	6.0		50	West Indies	England	England	field	Kennington Oval	63.0
2017-09-29	West Indies tour of England--64	male	England		9.0	50	West Indies	England	England	field	The Rose Bowl	64.0
2017-05-12	Ireland Tri-Nation Series--65	male	no result			50	Ireland	Bangladesh	Ireland	field	Malahide	65.0
2017-05-14	Ireland Tri-Nation Series--66	male	New Zealand	51.0		50	Ireland	New Zealand	Ireland	field	Malahide	66.0
2017-05-17	Ireland Tri-Nation Series--67	male	New Zealand		4.0	50	Bangladesh	New Zealand	New Zealand	field	Clontarf Cricket Club Ground	67.0
2017-05-19	Ireland Tri-Nation Series--68	male	Bangladesh		8.0	50	Ireland	Bangladesh	Bangladesh	field	Malahide	68.0
2017-05-21	Ireland Tri-Nation Series--69	male	New Zealand	190.0		50	Ireland	New Zealand	Ireland	field	Malahide	69.0
2017-05-24	Ireland Tri-Nation Series--70	male	Bangladesh		5.0	50	Bangladesh	New Zealand	Bangladesh	field	Clontarf Cricket Club Ground	70.0
2017-01-15	England in India ODI Series--71	male	India		3.0	50	India	England	India	field	Maharashtra Cricket Association Stadium	71.0
2017-01-19	England in India ODI Series--72	male	India	15.0		50	India	England	England	field	Barabati Stadium	72.0
2017-01-22	England in India ODI Series--73	male	England	5.0		50	India	England	India	field	Eden Gardens	73.0
2017-03-15	Afghanistan v Ireland ODI Series--74	male	Afghanistan	30.0		50	Afghanistan	Ireland	Afghanistan	bat	Greater Noida Sports Complex Ground	74.0
2017-03-17	Afghanistan v Ireland ODI Series--75	male	Afghanistan	34.0		50	Afghanistan	Ireland	Afghanistan	bat	Greater Noida Sports Complex Ground	75.0
2017-03-19	Afghanistan v Ireland ODI Series--76	male	Ireland		6.0	50	Afghanistan	Ireland	Afghanistan	bat	Greater Noida Sports Complex Ground	76.0
2017-03-22	Afghanistan v Ireland ODI Series--77	male	Ireland		3.0	50	Afghanistan	Ireland	Afghanistan	bat	Greater Noida Sports Complex Ground	77.0
2017-03-24	Afghanistan v Ireland ODI Series--78	male	Afghanistan		7.0	50	Afghanistan	Ireland	Ireland	bat	Greater Noida Sports Complex Ground	78.0
2017-01-18	South Africa Women in Bangladesh ODI Series--79	female	South Africa	94.0		50	Bangladesh	South Africa	South Africa	bat	Sheikh Kamal International Cricket Stadium	79.0
2017-01-20	South Africa Women in Bangladesh ODI Series--80	female	South Africa		8.0	50	Bangladesh	South Africa	Bangladesh	bat	Sheikh Kamal International Cricket Stadium	80.0
2016-11-18	ICC Women's Championship--81	female	Australia		2.0	50	Australia	South Africa	South Africa	bat	Manuka Oval	81.0
2016-11-20	ICC Women's Championship--82	female	Australia	66.0		50	Australia	South Africa	Australia	bat	Manuka Oval	82.0
2016-11-29	South Africa Women in Australia ODI Series--83	female	Australia	43.0		50	Australia	South Africa	South Africa	field	International Sports Stadium	83.0
2016-09-18	Australia Women in Sri Lanka ODI Series--84	female	Australia		4.0	50	Sri Lanka	Australia	Sri Lanka	bat	Rangiri Dambulla International Stadium	84.0
2016-09-25	ICC Women's Championship--85	female	Australia	137.0		50	Sri Lanka	Australia	Australia	bat	Khettarama Stadium	85.0
2016-09-30	Pakistan v West Indies ODI Series--86	male	Pakistan	111.0		50	Pakistan	West Indies	West Indies	field	Sharjah Cricket Stadium	86.0
2016-10-02	Pakistan v West Indies ODI Series--87	male	Pakistan	59.0		50	Pakistan	West Indies	Pakistan	bat	Sharjah Cricket Stadium	87.0
2016-10-05	Pakistan v West Indies ODI Series--88	male	Pakistan	136.0		50	Pakistan	West Indies	Pakistan	bat	Sheikh Zayed Stadium	88.0
2016-11-11	Pakistan Women in New Zealand ODI Series--89	female	New Zealand	60.0		50	New Zealand	Pakistan	New Zealand	bat	Bert Sutcliffe Oval	89.0
2016-11-13	ICC Women's Championship--90	female	New Zealand		8.0	50	New Zealand	Pakistan	Pakistan	bat	Bert Sutcliffe Oval	90.0
2016-11-17	ICC Women's Championship--91	female	New Zealand		7.0	50	New Zealand	Pakistan	New Zealand	field	Saxton Oval	91.0
2017-02-26	Rose Bowl--92	female	New Zealand		5.0	50	New Zealand	Australia	Australia	bat	Eden Park No 2	92.0
2017-03-02	Rose Bowl--93	female	Australia		4.0	50	New Zealand	Australia	Australia	field	Bay Oval	93.0
2017-03-05	Rose Bowl--94	female	Australia		5.0	50	New Zealand	Australia	Australia	field	Bay Oval	94.0
2016-09-25	Afghanistan in Bangladesh ODI Series--95	male	Bangladesh	7.0		50	Bangladesh	Afghanistan	Bangladesh	bat	Shere Bangla National Stadium	95.0
2016-09-28	Afghanistan in Bangladesh ODI Series--96	male	Afghanistan		2.0	50	Bangladesh	Afghanistan	Afghanistan	field	Shere Bangla National Stadium	96.0
2016-10-01	Afghanistan in Bangladesh ODI Series--97	male	Bangladesh	141.0		50	Bangladesh	Afghanistan	Bangladesh	bat	Shere Bangla National Stadium	97.0
2016-11-15	ICC Women's Championship--98	female	England		5.0	50	Sri Lanka	England	Sri Lanka	bat	R Premadasa Stadium	98.0
2016-11-17	ICC Women's Championship--99	female	England	162.0		50	Sri Lanka	England	England	bat	R Premadasa Stadium	99.0
2016-11-14	Zimbabwe Tri-Nation Series--100	male	Sri Lanka		8.0	50	Zimbabwe	Sri Lanka	Sri Lanka	field	Harare Sports Club	100.0
2016-11-16	Zimbabwe Tri-Nation Series--101	male	West Indies	62.0		50	Sri Lanka	West Indies	Sri Lanka	field	Harare Sports Club	101.0
2016-11-19	Zimbabwe Tri-Nation Series--102	male	no result			50	Zimbabwe	West Indies	Zimbabwe	bat	Queens Sports Club	102.0
2016-11-21	Zimbabwe Tri-Nation Series--103	male	no result			50	Zimbabwe	Sri Lanka	Zimbabwe	bat	Queens Sports Club	103.0
2016-11-23	Zimbabwe Tri-Nation Series--104	male	Sri Lanka	1.0		50	Sri Lanka	West Indies	West Indies	field	Queens Sports Club	104.0
2016-11-25	Zimbabwe Tri-Nation Series--105	male	Zimbabwe	5.0		50	Zimbabwe	West Indies	Zimbabwe	bat	Queens Sports Club	105.0
2016-11-27	Zimbabwe Tri-Nation Series--106	male	Sri Lanka		6.0	50	Zimbabwe	Sri Lanka	Zimbabwe	bat	Queens Sports Club	106.0
2016-11-09	England Women in Sri Lanka ODI Series--107	female	England		8.0	50	Sri Lanka	England	Sri Lanka	bat	Sinhalese Sports Club Ground	107.0
2017-04-02	ICC World Cricket League Championship--108	male	Papua New Guinea	26.0		50	United Arab Emirates	Papua New Guinea	Papua New Guinea	bat	Sheikh Zayed Stadium	108.0
2018-01-14	England tour of Australia and New Zealand--109	male	England		5.0	50	Australia	England	England	field	Melbourne Cricket Ground	109.0
2018-01-19	England tour of Australia and New Zealand--110	male	England		4.0	50	Australia	England	Australia	bat	Brisbane Cricket Ground, Woolloongabba	110.0
2018-01-21	England tour of Australia and New Zealand--111	male	England	16.0		50	England	Australia	Australia	field	Sydney Cricket Ground	111.0
2018-01-26	England tour of Australia and New Zealand--112	male	Australia		3.0	50	England	Australia	Australia	field	Adelaide Oval	112.0
2018-01-28	England tour of Australia and New Zealand--113	male	England	12.0		50	England	Australia	Australia	field	Perth Stadium	113.0
2017-02-07	ICC Women's World Cup Qualifier--114	female	India	114.0		50	Sri Lanka	India	India	bat	P Sara Oval	114.0
2017-02-07	ICC Women's World Cup Qualifier--115	female	South Africa	63.0		50	Pakistan	South Africa	South Africa	bat	Nondescripts Cricket Club Ground	115.0
2017-02-08	ICC Women's World Cup Qualifier--116	female	Sri Lanka	146.0		50	Sri Lanka	Ireland	Sri Lanka	bat	Nondescripts Cricket Club Ground	116.0
2017-02-08	ICC Women's World Cup Qualifier--117	female	Pakistan	67.0		50	Bangladesh	Pakistan	Pakistan	bat	P Sara Oval	117.0
2017-02-10	ICC Women's World Cup Qualifier--118	female	India	125.0		50	India	Ireland	India	bat	P Sara Oval	118.0
2017-02-11	ICC Women's World Cup Qualifier--119	female	South Africa		6.0	50	Bangladesh	South Africa	Bangladesh	bat	P Sara Oval	119.0
2017-02-15	ICC Women's World Cup Qualifier--120	female	India	49.0		50	India	South Africa	South Africa	field	P Sara Oval	120.0
2017-02-15	ICC Women's World Cup Qualifier--121	female	Sri Lanka		5.0	50	Sri Lanka	Pakistan	Sri Lanka	field	Nondescripts Cricket Club Ground	121.0
2017-02-15	ICC Women's World Cup Qualifier--122	female	Bangladesh		7.0	50	Bangladesh	Ireland	Bangladesh	field	Colombo Cricket Club Ground	122.0
2017-02-17	ICC Women's World Cup Qualifier--123	female	South Africa		9.0	50	Sri Lanka	South Africa	Sri Lanka	bat	P Sara Oval	123.0
2017-02-17	ICC Women's World Cup Qualifier--124	female	India		9.0	50	Bangladesh	India	India	field	Nondescripts Cricket Club Ground	124.0
2017-02-17	ICC Women's World Cup Qualifier--125	female	Pakistan	86.0		50	Ireland	Pakistan	Pakistan	bat	Colombo Cricket Club Ground	125.0
2017-02-19	ICC Women's World Cup Qualifier--126	female	India		7.0	50	India	Pakistan	India	field	P Sara Oval	126.0
2017-02-19	ICC Women's World Cup Qualifier--127	female	Sri Lanka	42.0		50	Sri Lanka	Bangladesh	Bangladesh	field	Nondescripts Cricket Club Ground	127.0
2017-02-19	ICC Women's World Cup Qualifier--128	female	South Africa	36.0		50	Ireland	South Africa	Ireland	bat	Colombo Cricket Club Ground	128.0
2017-02-21	ICC Women's World Cup Qualifier--129	female	India		1.0	50	India	South Africa	South Africa	bat	P Sara Oval	129.0
2017-10-15	Bangladesh tour of South Africa--130	male	South Africa		10.0	50	Bangladesh	South Africa	Bangladesh	bat	Diamond Oval	130.0
2017-10-18	Bangladesh tour of South Africa--131	male	South Africa	104.0		50	South Africa	Bangladesh	Bangladesh	field	Boland Park	131.0
2017-10-22	Bangladesh tour of South Africa--132	male	South Africa	200.0		50	South Africa	Bangladesh	South Africa	bat	Buffalo Park	132.0
2017-04-07	Pakistan in West Indies ODI Series--133	male	West Indies		4.0	50	West Indies	Pakistan	West Indies	field	Providence Stadium	133.0
2017-04-09	Pakistan in West Indies ODI Series--134	male	Pakistan	74.0		50	West Indies	Pakistan	West Indies	field	Providence Stadium	134.0
2017-04-11	Pakistan in West Indies ODI Series--135	male	Pakistan		6.0	50	West Indies	Pakistan	West Indies	bat	Providence Stadium	135.0
2017-01-22	United Arab Emirates Tri-Nation Series--136	male	Hong Kong		7.0	50	Hong Kong	Scotland	Hong Kong	field	Sheikh Zayed Stadium	136.0
2017-01-24	United Arab Emirates Tri-Nation Series--137	male	United Arab Emirates		4.0	50	United Arab Emirates	Scotland	Scotland	bat	Dubai International Cricket Stadium	137.0
2017-01-26	United Arab Emirates Tri-Nation Series--138	male	United Arab Emirates		6.0	50	United Arab Emirates	Hong Kong	United Arab Emirates	field	Dubai International Cricket Stadium	138.0
2017-02-16	Afghanistan in Zimbabwe ODI Series--139	male	Afghanistan	12.0		50	Zimbabwe	Afghanistan	Afghanistan	bat	Harare Sports Club	139.0
2017-02-19	Afghanistan in Zimbabwe ODI Series--140	male	Afghanistan	54.0		50	Zimbabwe	Afghanistan	Afghanistan	bat	Harare Sports Club	140.0
2017-02-21	Afghanistan in Zimbabwe ODI Series--141	male	Zimbabwe	3.0		50	Zimbabwe	Afghanistan	Zimbabwe	bat	Harare Sports Club	141.0
2017-02-24	Afghanistan in Zimbabwe ODI Series--142	male	Zimbabwe		7.0	50	Zimbabwe	Afghanistan	Afghanistan	bat	Harare Sports Club	142.0
2017-02-26	Afghanistan in Zimbabwe ODI Series--143	male	Afghanistan	106.0		50	Zimbabwe	Afghanistan	Afghanistan	bat	Harare Sports Club	143.0
2017-03-02	Ireland in United Arab Emirates ODI Series--144	male	Ireland	85.0		50	United Arab Emirates	Ireland	United Arab Emirates	field	ICC Global Cricket Academy	144.0
2017-03-04	Ireland in United Arab Emirates ODI Series--145	male	Ireland		8.0	50	United Arab Emirates	Ireland	United Arab Emirates	bat	ICC Global Cricket Academy	145.0
2017-03-25	Bangladesh in Sri Lanka ODI Series--146	male	Bangladesh	90.0		50	Sri Lanka	Bangladesh	Sri Lanka	field	Rangiri Dambulla International Stadium	146.0
2017-03-28	Bangladesh in Sri Lanka ODI Series--147	male	no result			50	Sri Lanka	Bangladesh	Sri Lanka	bat	Rangiri Dambulla International Stadium	147.0
2017-04-01	Bangladesh in Sri Lanka ODI Series--148	male	Sri Lanka	70.0		50	Sri Lanka	Bangladesh	Bangladesh	field	Sinhalese Sports Club Ground	148.0
2017-06-24	ICC Women's World Cup--149	female	New Zealand		9.0	50	New Zealand	Sri Lanka	New Zealand	field	County Ground	149.0
2017-06-24	ICC Women's World Cup--150	female	India	35.0		50	England	India	England	field	County Ground	150.0
2017-06-25	ICC Women's World Cup--151	female	South Africa		3.0	50	Pakistan	South Africa	South Africa	field	Grace Road	151.0
2017-06-26	ICC Women's World Cup--152	female	Australia		8.0	50	Australia	West Indies	West Indies	bat	County Ground	152.0
2017-06-27	ICC Women's World Cup--153	female	England	107.0		50	England	Pakistan	Pakistan	field	Grace Road	153.0
2017-06-29	ICC Women's World Cup--154	female	India		7.0	50	India	West Indies	India	field	County Ground	154.0
2017-06-29	ICC Women's World Cup--155	female	Australia		8.0	50	Australia	Sri Lanka	Australia	field	County Ground	155.0
2017-07-02	ICC Women's World Cup--156	female	England		7.0	50	England	Sri Lanka	Sri Lanka	bat	County Ground	156.0
2017-07-02	ICC Women's World Cup--157	female	Australia		5.0	50	Australia	New Zealand	New Zealand	bat	County Ground	157.0
2017-07-02	ICC Women's World Cup--158	female	India	95.0		50	India	Pakistan	India	bat	County Ground	158.0
2017-07-02	ICC Women's World Cup--159	female	South Africa		10.0	50	South Africa	West Indies	South Africa	field	Grace Road	159.0
2017-07-05	ICC Women's World Cup--160	female	England	68.0		50	England	South Africa	England	bat	County Ground	160.0
2017-07-05	ICC Women's World Cup--161	female	India	16.0		50	India	Sri Lanka	India	bat	County Ground	161.0
2017-07-05	ICC Women's World Cup--162	female	Australia	159.0		50	Australia	Pakistan	Australia	bat	Grace Road	162.0
2017-07-06	ICC Women's World Cup--163	female	New Zealand		8.0	50	New Zealand	West Indies	New Zealand	field	County Ground	163.0
2017-07-08	ICC Women's World Cup--164	female	New Zealand		8.0	50	New Zealand	Pakistan	Pakistan	bat	County Ground	164.0
2017-07-08	ICC Women's World Cup--165	female	South Africa	115.0		50	India	South Africa	India	field	Grace Road	165.0
2017-07-09	ICC Women's World Cup--166	female	England	3.0		50	England	Australia	England	bat	County Ground	166.0
2017-07-09	ICC Women's World Cup--167	female	West Indies	47.0		50	Sri Lanka	West Indies	Sri Lanka	field	County Ground	167.0
2017-07-11	ICC Women's World Cup--168	female	West Indies	19.0		50	Pakistan	West Indies	Pakistan	field	Grace Road	168.0
2017-07-12	ICC Women's World Cup--169	female	South Africa		8.0	50	South Africa	Sri Lanka	Sri Lanka	bat	County Ground	169.0
2017-07-12	ICC Women's World Cup--170	female	Australia		8.0	50	Australia	India	Australia	field	County Ground	170.0
2017-07-12	ICC Women's World Cup--171	female	England	75.0		50	England	New Zealand	England	bat	County Ground	171.0
2017-07-15	ICC Women's World Cup--172	female	Australia	59.0		50	Australia	South Africa	Australia	bat	County Ground	172.0
2017-07-15	ICC Women's World Cup--173	female	England	92.0		50	England	West Indies	West Indies	field	County Ground	173.0
2017-07-15	ICC Women's World Cup--174	female	India	186.0		50	India	New Zealand	New Zealand	field	County Ground	174.0
2017-07-15	ICC Women's World Cup--175	female	Sri Lanka	15.0		50	Pakistan	Sri Lanka	Sri Lanka	bat	Grace Road	175.0
2017-07-18	ICC Women's World Cup--176	female	England		2.0	50	South Africa	England	South Africa	bat	County Ground	176.0
2017-07-20	ICC Women's World Cup--177	female	India	36.0		50	India	Australia	India	bat	County Ground	177.0
2017-07-23	ICC Women's World Cup--178	female	England	9.0		50	England	India	England	bat	Lord's	178.0
2017-10-22	ICC Women's Championship--179	female	Australia		2.0	50	England	Australia	Australia	field	Allan Border Field	179.0
2017-10-26	ICC Women's Championship--180	female	Australia	75.0		50	Australia	England	England	field	International Sports Stadium	180.0
2017-04-04	Papua New Guinea in United Arab Emirates ODI Series--181	male	United Arab Emirates	103.0		50	United Arab Emirates	Papua New Guinea	United Arab Emirates	bat	Sheikh Zayed Stadium	181.0
2017-06-15	Zimbabwe in Scotland ODI Series--182	male	Scotland	26.0		50	Scotland	Zimbabwe	Scotland	bat	Grange Cricket Club Ground, Raeburn Place	182.0
2017-06-17	Zimbabwe in Scotland ODI Series--183	male	Zimbabwe		6.0	50	Scotland	Zimbabwe	Scotland	bat	Grange Cricket Club Ground, Raeburn Place	183.0
2017-05-07	Women's Quadrangular Series (in South Africa)--184	female	India		10.0	50	India	Ireland	India	field	North-West University No1 Ground	184.0
2017-05-09	Women's Quadrangular Series (in South Africa)--185	female	India		7.0	50	South Africa	India	India	field	North-West University No1 Ground	185.0
2017-05-11	Women's Quadrangular Series (in South Africa)--186	female	South Africa	178.0		50	South Africa	Ireland	South Africa	bat	Senwes Park	186.0
2017-05-17	Women's Quadrangular Series (in South Africa)--187	female	South Africa	8.0		50	South Africa	India	India	field	Senwes Park	187.0
2017-05-19	Women's Quadrangular Series (in South Africa)--188	female	South Africa	120.0		50	South Africa	Ireland	South Africa	bat	North-West University No1 Ground	188.0
2017-05-21	Women's Quadrangular Series (in South Africa)--189	female	India		8.0	50	South Africa	India	India	field	Senwes Park	189.0
2017-06-09	Afghanistan in West Indies ODI Series--190	male	Afghanistan	63.0		50	West Indies	Afghanistan	Afghanistan	bat	Darren Sammy National Cricket Stadium, Gros Islet	190.0
2017-06-11	Afghanistan in West Indies ODI Series--191	male	West Indies		4.0	50	West Indies	Afghanistan	Afghanistan	bat	Darren Sammy National Cricket Stadium, Gros Islet	191.0
2017-06-23	India in West Indies ODI Series--192	male	no result			50	West Indies	India	West Indies	field	Queen's Park Oval, Port of Spain	192.0
2017-06-25	India in West Indies ODI Series--193	male	India	105.0		50	West Indies	India	West Indies	field	Queen's Park Oval, Port of Spain	193.0
2017-06-30	India in West Indies ODI Series--194	male	India	93.0		50	West Indies	India	West Indies	field	Sir Vivian Richards Stadium, North Sound	194.0
2017-07-02	India in West Indies ODI Series--195	male	West Indies	11.0		50	West Indies	India	West Indies	bat	Sir Vivian Richards Stadium, North Sound	195.0
2017-07-06	India in West Indies ODI Series--196	male	India		8.0	50	West Indies	India	West Indies	bat	Sabina Park, Kingston	196.0
2017-06-30	Zimbabwe in Sri Lanka ODI Series--197	male	Zimbabwe		6.0	50	Sri Lanka	Zimbabwe	Sri Lanka	bat	Galle International Stadium	197.0
2017-07-02	Zimbabwe in Sri Lanka ODI Series--198	male	Sri Lanka		7.0	50	Sri Lanka	Zimbabwe	Sri Lanka	field	Galle International Stadium	198.0
2017-07-06	Zimbabwe in Sri Lanka ODI Series--199	male	Sri Lanka		8.0	50	Sri Lanka	Zimbabwe	Sri Lanka	field	Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa	199.0
2017-07-08	Zimbabwe in Sri Lanka ODI Series--200	male	Zimbabwe		4.0	50	Sri Lanka	Zimbabwe	Sri Lanka	bat	Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa	200.0
2017-07-10	Zimbabwe in Sri Lanka ODI Series--201	male	Zimbabwe		3.0	50	Sri Lanka	Zimbabwe	Zimbabwe	field	Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa	201.0
